t,l,R,eg
0.367000,0.918770,0.115763,0.463069
0.368000,0.918575,0.116073,0.462969
0.369000,0.918381,0.116383,0.462870
0.370000,0.918187,0.116693,0.462771
0.371000,0.917994,0.117003,0.462671
0.372000,0.917800,0.117313,0.462572
0.373000,0.917606,0.117623,0.462473
0.374000,0.917413,0.117933,0.462373
0.375000,0.917220,0.118242,0.462274
0.376000,0.917027,0.118552,0.462175
0.377000,0.916834,0.118862,0.462075
0.378000,0.916641,0.119172,0.461976
0.379000,0.916448,0.119481,0.461877
0.380000,0.916255,0.119791,0.461778
0.381000,0.916063,0.120100,0.461678
0.382000,0.915871,0.120410,0.461579
0.383000,0.915678,0.120719,0.461480
0.384000,0.915486,0.121029,0.461381
0.385000,0.915295,0.121338,0.461282
0.386000,0.915103,0.121647,0.461182
0.387000,0.914911,0.121957,0.461083
0.388000,0.914720,0.122266,0.460984
0.389000,0.914528,0.122575,0.460885
0.390000,0.914337,0.122884,0.460786
0.391000,0.914146,0.123193,0.460687
0.392000,0.913955,0.123502,0.460587
0.393000,0.913764,0.123811,0.460488
0.394000,0.913574,0.124120,0.460389
0.395000,0.913383,0.124429,0.460290
0.396000,0.913193,0.124738,0.460191
0.397000,0.913002,0.125047,0.460092
0.398000,0.912812,0.125355,0.459993
0.399000,0.912622,0.125664,0.459894
0.400000,0.912433,0.125973,0.459795
0.401000,0.912243,0.126282,0.459696
0.402000,0.912053,0.126590,0.459597
0.403000,0.911864,0.126899,0.459498
0.404000,0.911674,0.127207,0.459399
0.405000,0.911485,0.127516,0.459300
0.406000,0.911296,0.127824,0.459201
0.407000,0.911107,0.128132,0.459102
0.408000,0.910919,0.128441,0.459003
0.409000,0.910730,0.128749,0.458904
0.410000,0.910542,0.129057,0.458805
0.411000,0.910353,0.129365,0.458706
0.412000,0.910165,0.129673,0.458607
0.413000,0.909977,0.129981,0.458508
0.414000,0.909789,0.130290,0.458409
0.415000,0.909601,0.130598,0.458310
0.416000,0.909413,0.130905,0.458212
0.417000,0.909226,0.131213,0.458113
0.418000,0.909038,0.131521,0.458014
0.419000,0.908851,0.131829,0.457915
0.420000,0.908664,0.132137,0.457816
0.421000,0.908477,0.132444,0.457717
0.422000,0.908290,0.132752,0.457619
0.423000,0.908103,0.133060,0.457520
0.424000,0.907917,0.133367,0.457421
0.425000,0.907730,0.133675,0.457322
0.426000,0.907544,0.133982,0.457224
0.427000,0.907358,0.134290,0.457125
0.428000,0.907172,0.134597,0.457026
0.429000,0.906986,0.134904,0.456927
0.430000,0.906800,0.135211,0.456829
0.431000,0.906614,0.135519,0.456730
0.432000,0.906429,0.135826,0.456631
0.433000,0.906243,0.136133,0.456533
0.434000,0.906058,0.136440,0.456434
0.435000,0.905873,0.136747,0.456335
0.436000,0.905688,0.137054,0.456237
0.437000,0.905503,0.137361,0.456138
0.438000,0.905318,0.137668,0.456039
0.439000,0.905134,0.137975,0.455941
0.440000,0.904949,0.138281,0.455842
0.441000,0.904765,0.138588,0.455744
0.442000,0.904581,0.138895,0.455645
0.443000,0.904397,0.139201,0.455546
0.444000,0.904213,0.139508,0.455448
0.445000,0.904029,0.139815,0.455349
0.446000,0.903845,0.140121,0.455251
0.447000,0.903662,0.140427,0.455152
0.448000,0.903478,0.140734,0.455054
0.449000,0.903295,0.141040,0.454955
0.450000,0.903112,0.141346,0.454857
0.451000,0.902929,0.141653,0.454758
0.452000,0.902746,0.141959,0.454660
0.453000,0.902563,0.142265,0.454562
0.454000,0.902381,0.142571,0.454463
0.455000,0.902198,0.142877,0.454365
0.456000,0.902016,0.143183,0.454266
0.457000,0.901834,0.143489,0.454168
0.458000,0.901652,0.143795,0.454070
0.459000,0.901470,0.144100,0.453971
0.460000,0.901288,0.144406,0.453873
0.461000,0.901106,0.144712,0.453774
0.462000,0.900925,0.145018,0.453676
0.463000,0.900743,0.145323,0.453578
0.464000,0.900562,0.145629,0.453479
0.465000,0.900381,0.145934,0.453381
0.466000,0.900200,0.146240,0.453283
