t,eg
0.969000,0.339699
0.970000,0.339594
0.971000,0.339490
0.972000,0.339385
0.973000,0.339281
0.974000,0.339177
0.975000,0.339072
0.976000,0.338968
0.977000,0.338864
0.978000,0.338760
0.979000,0.338656
0.980000,0.338553
0.981000,0.338449
0.982000,0.338345
0.983000,0.338242
0.984000,0.338138
0.985000,0.338035
0.986000,0.337931
0.987000,0.337828
0.988000,0.337725
0.989000,0.337622
0.990000,0.337519
0.991000,0.337416
0.992000,0.337313
0.993000,0.337210
0.994000,0.337108
0.995000,0.337005
0.996000,0.336902
0.997000,0.336800
0.998000,0.336698
0.999000,0.336595
1.000000,0.336493
1.001000,0.336391
1.002000,0.336289
1.003000,0.336187
1.004000,0.336085
1.005000,0.335983
1.006000,0.335882
1.007000,0.335780
1.008000,0.335678
1.009000,0.335577
1.010000,0.335475
1.011000,0.335374
1.012000,0.335273
1.013000,0.335172
1.014000,0.335071
1.015000,0.334969
1.016000,0.334869
1.017000,0.334768
1.018000,0.334667
1.019000,0.334566
1.020000,0.334466
1.021000,0.334365
1.022000,0.334265
1.023000,0.334164
1.024000,0.334064
1.025000,0.333964
1.026000,0.333863
1.027000,0.333763
1.028000,0.333663
1.029000,0.333563
1.030000,0.333463
1.031000,0.333364
1.032000,0.333264
1.033000,0.333164
1.034000,0.333065
1.035000,0.332965
1.036000,0.332866
1.037000,0.332767
1.038000,0.332667
1.039000,0.332568
1.040000,0.332469
1.041000,0.332370
1.042000,0.332271
1.043000,0.332172
1.044000,0.332073
1.045000,0.331975
1.046000,0.331876
1.047000,0.331778
1.048000,0.331679
1.049000,0.331581
1.050000,0.331482
1.051000,0.331384
1.052000,0.331286
1.053000,0.331188
1.054000,0.331090
1.055000,0.330992
1.056000,0.330894
1.057000,0.330796
1.058000,0.330698
1.059000,0.330601
1.060000,0.330503
1.061000,0.330406
1.062000,0.330308
1.063000,0.330211
1.064000,0.330113
1.065000,0.330016
1.066000,0.329919
1.067000,0.329822
1.068000,0.329725
1.069000,0.329628
1.070000,0.329531
1.071000,0.329434
1.072000,0.329338
1.073000,0.329241
1.074000,0.329145
1.075000,0.329048
1.076000,0.328952
1.077000,0.328855
1.078000,0.328759
1.079000,0.328663
1.080000,0.328567
1.081000,0.328471
1.082000,0.328375
1.083000,0.328279
1.084000,0.328183
1.085000,0.328087
1.086000,0.327992
1.087000,0.327896
1.088000,0.327800
1.089000,0.327705
1.090000,0.327610
1.091000,0.327514
1.092000,0.327419
1.093000,0.327324
1.094000,0.327229
1.095000,0.327134
1.096000,0.327039
1.097000,0.326944
1.098000,0.326849
1.099000,0.326754
1.100000,0.326660
1.101000,0.326565
1.102000,0.326470
1.103000,0.326376
1.104000,0.326282
1.105000,0.326187
1.106000,0.326093
1.107000,0.325999
1.108000,0.325905
1.109000,0.325811
1.110000,0.325717
1.111000,0.325623
1.112000,0.325529
1.113000,0.325435
1.114000,0.325342
1.115000,0.325248
1.116000,0.325154
1.117000,0.325061
