generation,alpha,evaluation_count,population_size
621,3.4918060086426235,58995,120
622,3.4961019869915493,59090,120
623,3.4955603396770751,59185,120
624,3.5040258075919706,59280,120
625,3.501193854894308,59375,120
626,3.4967773896720002,59470,120
627,3.4932637360020715,59565,120
628,3.4956171069252537,59660,120
629,3.4988823908822142,59755,120
630,3.4970327565604613,59850,120
631,3.4915950609657274,59945,120
632,3.4932619934956111,60040,120
633,3.4962667804329226,60135,120
634,3.4985489948424435,60230,120
635,3.499450985241618,60325,120
636,3.5060300669545637,60420,120
637,3.5110187308310596,60515,120
638,3.5214299651141192,60610,120
639,3.5329881526123859,60705,120
640,3.5387530825645053,60800,120
641,3.5437335593556369,60895,120
642,3.5444839755046034,60990,120
643,3.5537228424977729,61085,120
644,3.553457346187491,61180,120
645,3.5474547148769457,61275,120
646,3.5457241698923987,61370,120
647,3.5510489341977935,61465,120
648,3.5626317487719183,61560,120
649,3.5646044015527862,61655,120
650,3.5691960417115922,61750,120
651,3.5704201052600619,61845,120
652,3.5685716568599286,61940,120
653,3.5680091875065414,62035,120
654,3.5700990042055003,62130,120
655,3.5682258635452406,62225,120
656,3.5701581162615978,62320,120
657,3.5711054122912946,62415,120
658,3.5699712704258042,62510,120
659,3.5758876989772421,62605,120
660,3.5829153064567998,62700,120
661,3.595857628501069,62795,120
662,3.599050883660869,62890,120
663,3.5899112958465991,62985,120
664,3.6032570928322052,63080,120
665,3.6031627715525731,63175,120
666,3.6047486621435763,63270,120
667,3.5984192057316444,63365,120
668,3.5955005442239325,63460,120
669,3.6017938866869894,63555,120
670,3.6108102288933033,63650,120
671,3.6151618101777356,63745,120
672,3.6149666415844157,63840,120
673,3.6128196356908266,63935,120
674,3.6180560703649585,64030,120
675,3.6145828105025624,64125,120
676,3.6143308628145543,64220,120
677,3.6139398679020647,64315,120
678,3.6192499988740923,64410,120
679,3.628373350448082,64505,120
680,3.6300444691534151,64600,120
681,3.6237538260252209,64695,120
682,3.6308879710115374,64790,120
683,3.6355814872855978,64885,120
684,3.6415824181875207,64980,120
685,3.6461087724298218,65075,120
686,3.6472133901672543,65170,120
687,3.655098557469096,65265,120
688,3.659317148602697,65360,120
689,3.6724834733927421,65455,120
690,3.6837378490962944,65550,120
691,3.6891986907188588,65645,120
692,3.6889459357478405,65740,120
693,3.6896978991448197,65835,120
694,3.6878414060808469,65930,120
695,3.6910454207317525,66025,120
696,3.6882091121170673,66120,120
697,3.6928398216457987,66215,120
698,3.6950440044099619,66310,120
699,3.6941596966508694,66405,120
700,3.6963710265246514,66500,120
701,3.6962739038106438,66595,120
702,3.6968222924686081,66690,120
703,3.6906128388233297,66785,120
704,3.6900822502982629,66880,120
705,3.6906081973989671,66975,120
706,3.692790954228292,67070,120
707,3.6973404747264982,67165,120
708,3.6983691455663221,67260,120
709,3.6966021301406813,67355,120
710,3.6943364957642428,67450,120
711,3.6934638324064366,67545,120
712,3.6947970355681079,67640,120
713,3.7013212925333985,67735,120
714,3.6944140847767128,67830,120
715,3.6946937000313973,67925,120
716,3.6994683589830983,68020,120
717,3.6935934716026368,68115,120
718,3.7035231833155109,68210,120
719,3.7066093901745525,68305,120
720,3.7067962142836683,68400,120
721,3.7053301160967358,68495,120
722,3.7015390377563837,68590,120
723,3.6963134378989499,68685,120
724,3.7129837830424819,68780,120
725,3.7155325388651987,68875,120
726,3.7154926818539145,68970,120
727,3.7187145689530494,69065,120
728,3.7220035273554442,69160,120
729,3.7285416557564712,69255,120
730,3.7321469835040126,69350,120
731,3.737806628963467,69445,120
732,3.7404031191573139,69540,120
733,3.7380376205754651,69635,120
734,3.7431792706078206,69730,120
735,3.7455737249420622,69825,120
736,3.7495139897571916,69920,120
737,3.7577696105591887,70015,120
738,3.7568983117488335,70110,120
739,3.7612917926269596,70205,120
740,3.7628592593726058,70300,120
741,3.7672784838367259,70395,120
742,3.7620478529791148,70490,120
743,3.7649504590228609,70585,120
744,3.7669300741964387,70680,120
745,3.764225015313198,70775,120
746,3.7635815578341036,70870,120
747,3.7619649664926786,70965,120
748,3.7578904560050077,71060,120
749,3.7619821431992513,71155,120
750,3.7663779757336986,71250,120
751,3.7609898802853543,71345,120
752,3.7604427448340387,71440,120
753,3.7611606791312431,71535,120
754,3.75985877270594,71630,120
755,3.7603177113645527,71725,120
756,3.7664772438705518,71820,120
757,3.7691604182948328,71915,120
758,3.775703729981406,72010,120
759,3.7715833682378657,72105,120
760,3.7749200813448427,72200,120
761,3.7870303502573353,72295,120
762,3.7807871683624401,72390,120
763,3.7937319987588656,72485,120
764,3.7999600982685742,72580,120
765,3.8013067821902413,72675,120
766,3.8008291118802333,72770,120
767,3.8032012307035723,72865,120
768,3.8035061451838779,72960,120
769,3.7993015277956732,73055,120
770,3.7935580761530647,73150,120
771,3.8029432134714534,73245,120
772,3.8124877014458138,73340,120
773,3.8088182300282787,73435,120
774,3.8093544078388404,73530,120
775,3.81304929594832,73625,120
776,3.8084868093647586,73720,120
777,3.8060288945739242,73815,120
778,3.8036135496207781,73910,120
779,3.8084940595996599,74005,120
780,3.8128250139211599,74100,120
781,3.8114336251922594,74195,120
782,3.8157187920871234,74290,120
783,3.8134937473057158,74385,120
784,3.8077314553727408,74480,120
785,3.8031631504805565,74575,120
786,3.8019831547624348,74670,120
787,3.8003838989753662,74765,120
788,3.8104685505969758,74860,120
789,3.809353622986785,74955,120
790,3.8073900938519589,75050,120
791,3.8130418588916504,75145,120
792,3.8087527214993493,75240,120
793,3.8203144901894768,75335,120
794,3.8252077796897694,75430,120
795,3.8256312837551425,75525,120
796,3.8315770783504211,75620,120
797,3.8256341336683488,75715,120
798,3.8231914894479124,75810,120
799,3.8237157083881783,75905,120
800,3.8239145500195924,76000,120
801,3.8274339580476471,76095,120
802,3.8317816630219395,76190,120
803,3.8300459634869184,76285,120
804,3.8236879738488363,76380,120
805,3.8199287728705253,76475,120
806,3.8285576181512724,76570,120
807,3.8248495939146099,76665,120
808,3.8236909380975006,76760,120
809,3.823654851912047,76855,120
810,3.8202229094248761,76950,120
811,3.8207107984881321,77045,120
812,3.8216972761580585,77140,120
813,3.8244701553301699,77235,120
814,3.8307235301369023,77330,120
815,3.833166599602241,77425,120
816,3.8349046123924562,77520,120
817,3.8336033334026145,77615,120
818,3.8317023827639116,77710,120
819,3.8319383973087615,77805,120
820,3.8288180214493739,77900,120
821,3.8303122878147273,77995,120
822,3.8354777256292647,78090,120
823,3.8326019527651742,78185,120
824,3.8346095592093099,78280,120
