min,-5.120000,max,5.120000,populationsize,500,children,80
gen,best,worst,alpha,,var_x[0],var_x[1],var_x[2],var_x[3],var_x[4],var_x[5],var_x[6],var_x[7],var_x[8],var_x[9],var_x[10],var_x[11],var_x[12],var_x[13],var_x[14],var_x[15],var_x[16],var_x[17],var_x[18],var_x[19],,best_x[0],best_x[1],best_x[2],best_x[3],best_x[4],best_x[5],best_x[6],best_x[7],best_x[8],best_x[9],best_x[10],best_x[11],best_x[12],best_x[13],best_x[14],best_x[15],best_x[16],best_x[17],best_x[18],best_x[19],,distance
43,218.856460,837.587866,1.001659,,4.048523,4.461071,4.250537,4.153081,3.954496,4.140479,4.167466,4.268915,4.345917,3.847432,4.065160,4.655496,4.141551,4.015130,3.851870,4.084632,4.005490,4.658546,4.301893,4.328435,,1.865871,4.624974,2.566394,4.155017,-2.039770,-1.804840,-0.913036,3.838363,-1.608952,-3.922440,-3.870543,-4.914248,-1.788165,0.090499,-2.756161,0.040249,-1.429128,2.101892,0.296053,2.467971,,5.389012
44,194.536032,837.587866,1.000000,,3.997873,4.338306,4.178429,4.008900,3.878038,4.082398,4.134448,4.275916,4.319910,3.790577,3.973628,4.533242,4.116597,3.944842,3.827773,3.979985,3.988057,4.481219,4.264120,4.186491,,-2.000160,2.964729,1.039546,1.256991,-3.630672,-2.561318,-2.133946,4.128363,-0.407264,-2.196799,-2.089716,-0.272799,-3.027659,-0.875333,-0.689249,0.900318,-2.061385,2.161175,1.746704,4.748476,,5.516594
45,194.536032,837.587866,1.000000,,3.992131,4.264139,4.131593,3.898220,3.857813,4.046719,4.043001,4.227734,4.309069,3.724709,3.933131,4.403525,4.093325,3.872798,3.736505,3.932708,3.901402,4.499470,4.162472,4.079761,,-2.000160,2.964729,1.039546,1.256991,-3.630672,-2.561318,-2.133946,4.128363,-0.407264,-2.196799,-2.089716,-0.272799,-3.027659,-0.875333,-0.689249,0.900318,-2.061385,2.161175,1.746704,4.748476,,5.606955
46,194.536032,837.587866,1.000000,,3.977295,4.182815,4.117596,3.844409,3.843008,3.967810,4.019611,4.231124,4.225934,3.719898,3.890902,4.294225,4.039582,3.908740,3.653836,3.898800,3.906254,4.406095,4.127815,4.040598,,-2.000160,2.964729,1.039546,1.256991,-3.630672,-2.561318,-2.133946,4.128363,-0.407264,-2.196799,-2.089716,-0.272799,-3.027659,-0.875333,-0.689249,0.900318,-2.061385,2.161175,1.746704,4.748476,,5.679226
47,185.071514,837.587866,1.000000,,3.889646,4.099492,4.056433,3.798620,3.780094,3.929865,3.981136,4.150979,4.198274,3.639249,3.667665,4.238025,3.958481,3.837774,3.648115,3.763603,3.878719,4.328922,4.020534,3.966217,,2.328263,3.023129,0.014346,1.872913,-2.800911,-2.144920,-4.039356,4.814464,-4.427114,-3.259010,-3.048532,-1.529095,-0.948762,-0.801324,0.467032,1.948237,-2.774387,4.074801,0.050198,4.180028,,5.798589
48,185.071514,837.587866,1.002277,,3.851101,4.037124,3.968279,3.783183,3.757489,3.883268,3.951461,4.061923,4.101628,3.654234,3.619695,4.177866,3.898039,3.722179,3.561794,3.699992,3.779447,4.325864,3.930816,3.758390,,2.328263,3.023129,0.014346,1.872913,-2.800911,-2.144920,-4.039356,4.814464,-4.427114,-3.259010,-3.048532,-1.529095,-0.948762,-0.801324,0.467032,1.948237,-2.774387,4.074801,0.050198,4.180028,,5.924010
49,185.071514,837.587866,1.000196,,3.873918,3.943827,3.948855,3.747617,3.757846,3.716948,3.883329,3.908691,3.969993,3.590122,3.636147,4.091961,3.845700,3.693526,3.513319,3.691496,3.707131,4.230107,3.908846,3.673752,,2.328263,3.023129,0.014346,1.872913,-2.800911,-2.144920,-4.039356,4.814464,-4.427114,-3.259010,-3.048532,-1.529095,-0.948762,-0.801324,0.467032,1.948237,-2.774387,4.074801,0.050198,4.180028,,6.052720
50,194.536032,837.587866,1.000000,,3.815543,3.913655,3.803937,3.694229,3.667953,3.710919,3.769332,3.895782,3.914990,3.512274,3.584654,4.007604,3.771518,3.646131,3.470840,3.653378,3.657533,4.133126,3.821102,3.644489,,-2.000160,2.964729,1.039546,1.256991,-3.630672,-2.561318,-2.133946,4.128363,-0.407264,-2.196799,-2.089716,-0.272799,-3.027659,-0.875333,-0.689249,0.900318,-2.061385,2.161175,1.746704,4.748476,,6.142133
51,187.958352,837.587866,1.000000,,3.778025,3.870620,3.805772,3.704774,3.636918,3.669708,3.768708,3.807835,3.874049,3.407377,3.629950,4.013245,3.767569,3.638494,3.467001,3.686554,3.669689,4.127045,3.712370,3.542866,,-2.326403,3.067199,1.037671,1.847352,-3.257583,-3.155475,-2.620285,3.291686,-2.130928,-1.025777,-3.732563,-2.021482,-3.157715,-1.962483,-0.573119,3.174007,1.956064,3.920146,1.283798,3.385890,,6.187963
52,187.958352,837.587866,1.000000,,3.734866,3.774071,3.792086,3.677064,3.631113,3.647015,3.717814,3.720664,3.844259,3.271968,3.588645,3.983895,3.694169,3.514521,3.403205,3.548154,3.630179,4.081758,3.648468,3.507847,,-2.326403,3.067199,1.037671,1.847352,-3.257583,-3.155475,-2.620285,3.291686,-2.130928,-1.025777,-3.732563,-2.021482,-3.157715,-1.962483,-0.573119,3.174007,1.956064,3.920146,1.283798,3.385890,,6.245484
