dimension,200,seed,1
,mode,2
times,cosR,error
79.400000,0.933593,0.121400
79.500000,0.933858,0.121100
79.600000,0.933996,0.120900
79.700000,0.934197,0.120400
79.800000,0.934389,0.120500
79.900000,0.934531,0.120300
80.000000,0.934735,0.120200
80.100000,0.934921,0.120100
80.200000,0.935047,0.119700
80.300000,0.935261,0.119300
80.400000,0.935484,0.118700
80.500000,0.935685,0.118800
80.600000,0.935893,0.118800
80.700000,0.936065,0.118700
80.800000,0.936349,0.118400
80.900000,0.936436,0.118400
81.000000,0.936586,0.119000
81.100000,0.936838,0.118300
81.200000,0.936936,0.118200
81.300000,0.937211,0.117800
81.400000,0.937327,0.117600
81.500000,0.937518,0.117600
81.600000,0.937672,0.117300
81.700000,0.937928,0.117500
81.800000,0.938082,0.117100
81.900000,0.938175,0.117200
82.000000,0.938409,0.116700
82.100000,0.938553,0.116700
82.200000,0.938802,0.116200
82.300000,0.939010,0.116400
82.400000,0.939126,0.116500
82.500000,0.939235,0.116300
82.600000,0.939412,0.115900
82.700000,0.939658,0.115700
82.800000,0.939856,0.115800
82.900000,0.940067,0.115600
83.000000,0.940244,0.115300
83.100000,0.940492,0.115400
83.200000,0.940723,0.114900
83.300000,0.940903,0.114800
83.400000,0.941058,0.114600
83.500000,0.941168,0.114600
83.600000,0.941283,0.114700
83.700000,0.941445,0.114700
83.800000,0.941578,0.114500
83.900000,0.941756,0.114400
84.000000,0.941863,0.114000
84.100000,0.941997,0.113900
84.200000,0.942135,0.113900
84.300000,0.942227,0.114000
84.400000,0.942327,0.113800
84.500000,0.942527,0.113700
84.600000,0.942696,0.113800
84.700000,0.942802,0.113800
84.800000,0.942926,0.113800
84.900000,0.943044,0.113300
85.000000,0.943239,0.112900
85.100000,0.943357,0.112900
85.200000,0.943442,0.113100
85.300000,0.943567,0.113100
85.400000,0.943692,0.112900
85.500000,0.943771,0.112700
85.600000,0.943910,0.112200
85.700000,0.944087,0.112200
85.800000,0.944175,0.112200
85.900000,0.944253,0.112200
86.000000,0.944480,0.112000
86.100000,0.944621,0.111700
86.200000,0.944805,0.111500
86.300000,0.944949,0.111400
86.400000,0.945142,0.111500
86.500000,0.945254,0.111300
86.600000,0.945405,0.111300
86.700000,0.945482,0.111200
86.800000,0.945611,0.111200
86.900000,0.945771,0.110700
87.000000,0.945908,0.110700
87.100000,0.946030,0.110800
87.200000,0.946172,0.110300
87.300000,0.946285,0.110000
87.400000,0.946455,0.109700
87.500000,0.946578,0.109700
87.600000,0.946745,0.109400
87.700000,0.946876,0.109200
87.800000,0.946981,0.109600
87.900000,0.947087,0.109000
88.000000,0.947302,0.109000
88.100000,0.947388,0.109000
88.200000,0.947557,0.108900
88.300000,0.947637,0.108800
88.400000,0.947756,0.108500
88.500000,0.947901,0.108600
88.600000,0.948106,0.108400
88.700000,0.948168,0.108300
88.800000,0.948284,0.108300
88.900000,0.948424,0.108000
89.000000,0.948568,0.107700
89.100000,0.948688,0.107800
89.200000,0.948837,0.107600
89.300000,0.948908,0.107700
89.400000,0.948999,0.107600
89.500000,0.949076,0.107600
89.600000,0.949195,0.107400
89.700000,0.949268,0.107400
89.800000,0.949391,0.107300
89.900000,0.949565,0.106900
90.000000,0.949719,0.106900
90.100000,0.949879,0.106700
90.200000,0.949967,0.106700
90.300000,0.950127,0.106300
90.400000,0.950311,0.106200
90.500000,0.950415,0.106100
90.600000,0.950566,0.105800
90.700000,0.950709,0.105600
90.800000,0.950805,0.105700
90.900000,0.950968,0.105700
91.000000,0.951137,0.105200
91.100000,0.951206,0.104900
91.200000,0.951311,0.104800
91.300000,0.951387,0.104600
91.400000,0.951549,0.104600
91.500000,0.951633,0.104700
91.600000,0.951704,0.104700
91.700000,0.951813,0.104600
91.800000,0.951849,0.104700
91.900000,0.951980,0.104700
92.000000,0.952111,0.104300
92.100000,0.952256,0.104400
92.200000,0.952367,0.104100
92.300000,0.952496,0.103900
